percentage,tester
1.0,s01
0.9487179487179487,s01
0.8974358974358975,s01
0.8461538461538461,s01
0.7948717948717948,s01
0.7435897435897436,s01
0.6923076923076923,s01
0.6410256410256411,s01
0.5897435897435898,s01
0.5384615384615384,s01
0.48717948717948717,s01
0.4358974358974359,s01
0.38461538461538464,s01
0.3333333333333333,s01
0.28205128205128205,s01
0.23076923076923078,s01
0.1794871794871795,s01
0.1282051282051282,s01
0.07692307692307693,s01
0.02564102564102564,s01
0.02564102564102564,s01
0.07692307692307693,s01
0.1282051282051282,s01
0.1794871794871795,s01
0.23076923076923078,s01
0.28205128205128205,s01
0.3333333333333333,s01
0.38461538461538464,s01
0.4358974358974359,s01
0.48717948717948717,s01
0.5384615384615384,s01
0.5897435897435898,s01
0.6410256410256411,s01
0.6923076923076923,s01
0.7435897435897436,s01
0.7948717948717948,s01
0.8461538461538461,s01
0.8974358974358975,s01
0.9487179487179487,s01
1.0,s01
0.9583333333333334,s01
0.9166666666666666,s01
0.875,s01
0.8333333333333334,s01
0.7916666666666666,s01
0.75,s01
0.7083333333333334,s01
0.6666666666666666,s01
0.625,s01
0.5833333333333334,s01
0.5416666666666666,s01
0.5,s01
0.4583333333333333,s01
0.4166666666666667,s01
0.375,s01
0.3333333333333333,s01
0.2916666666666667,s01
0.25,s01
0.20833333333333334,s01
0.16666666666666666,s01
0.125,s01
0.08333333333333333,s01
0.041666666666666664,s01
0.0,s01
0.041666666666666664,s01
0.08333333333333333,s01
0.125,s01
0.16666666666666666,s01
0.20833333333333334,s01
0.25,s01
0.2916666666666667,s01
0.3333333333333333,s01
0.375,s01
0.4166666666666667,s01
0.4583333333333333,s01
0.5,s01
0.5416666666666666,s01
0.5833333333333334,s01
0.625,s01
0.6666666666666666,s01
0.7083333333333334,s01
0.75,s01
0.7916666666666666,s01
0.8333333333333334,s01
0.875,s01
0.9166666666666666,s01
0.9583333333333334,s01
1.0,s01
0.9583333333333334,s01
0.9166666666666666,s01
0.875,s01
0.8333333333333334,s01
0.7916666666666666,s01
0.75,s01
0.7083333333333334,s01
0.6666666666666666,s01
0.625,s01
0.5833333333333334,s01
0.5416666666666666,s01
0.5,s01
0.4583333333333333,s01
0.4166666666666667,s01
0.375,s01
0.3333333333333333,s01
0.2916666666666667,s01
0.25,s01
0.20833333333333334,s01
0.16666666666666666,s01
0.125,s01
0.08333333333333333,s01
0.041666666666666664,s01
0.0,s01
0.041666666666666664,s01
0.08333333333333333,s01
0.125,s01
0.16666666666666666,s01
0.20833333333333334,s01
0.25,s01
0.2916666666666667,s01
0.3333333333333333,s01
0.375,s01
0.4166666666666667,s01
0.4583333333333333,s01
0.5,s01
0.5416666666666666,s01
0.5833333333333334,s01
0.625,s01
0.6666666666666666,s01
0.7083333333333334,s01
0.75,s01
0.7916666666666666,s01
0.8333333333333334,s01
0.875,s01
0.9166666666666666,s01
0.9583333333333334,s01
1.0,s01
0.9615384615384616,s01
0.9230769230769231,s01
0.8846153846153846,s01
0.8461538461538461,s01
0.8076923076923077,s01
0.7692307692307693,s01
0.7307692307692307,s01
0.6923076923076923,s01
0.6538461538461539,s01
0.6153846153846154,s01
0.5769230769230769,s01
0.5384615384615384,s01
0.5,s01
0.46153846153846156,s01
0.4230769230769231,s01
0.38461538461538464,s01
0.34615384615384615,s01
0.3076923076923077,s01
0.2692307692307692,s01
0.23076923076923078,s01
0.19230769230769232,s01
0.15384615384615385,s01
0.11538461538461539,s01
0.07692307692307693,s01
0.038461538461538464,s01
0.0,s01
0.038461538461538464,s01
0.07692307692307693,s01
0.11538461538461539,s01
0.15384615384615385,s01
0.19230769230769232,s01
0.23076923076923078,s01
0.2692307692307692,s01
0.3076923076923077,s01
0.34615384615384615,s01
0.38461538461538464,s01
0.4230769230769231,s01
0.46153846153846156,s01
0.5,s01
0.5384615384615384,s01
0.5769230769230769,s01
0.6153846153846154,s01
0.6538461538461539,s01
0.6923076923076923,s01
0.7307692307692307,s01
0.7692307692307693,s01
0.8076923076923077,s01
0.8461538461538461,s01
0.8846153846153846,s01
0.9230769230769231,s01
0.9615384615384616,s01
1.0,s01
0.9615384615384616,s01
0.9230769230769231,s01
0.8846153846153846,s01
0.8461538461538461,s01
0.8076923076923077,s01
0.7692307692307693,s01
0.7307692307692307,s01
0.6923076923076923,s01
0.6538461538461539,s01
0.6153846153846154,s01
0.5769230769230769,s01
0.5384615384615384,s01
0.5,s01
0.46153846153846156,s01
0.4230769230769231,s01
0.38461538461538464,s01
0.34615384615384615,s01
0.3076923076923077,s01
0.2692307692307692,s01
0.23076923076923078,s01
0.19230769230769232,s01
0.15384615384615385,s01
0.11538461538461539,s01
0.07692307692307693,s01
0.038461538461538464,s01
0.0,s01
0.038461538461538464,s01
0.07692307692307693,s01
0.11538461538461539,s01
0.15384615384615385,s01
0.19230769230769232,s01
0.23076923076923078,s01
0.2692307692307692,s01
0.3076923076923077,s01
0.34615384615384615,s01
